techie,port_modem,tablet,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,internet_service,const
0,0,0,1,1,0,0,0,1,0,1,1,1,1
0,1,1,1,0,1,0,1,0,1,1,0,1,1
0,0,0,0,0,1,0,0,1,1,0,1,0,1
1,0,0,1,1,1,0,0,0,1,1,1,1,1
0,0,0,1,1,0,0,1,1,0,1,1,1,1
1,1,1,1,1,0,0,0,0,1,0,1,1,1
0,1,0,1,0,1,1,0,1,0,1,1,1,1
0,1,0,1,0,0,0,0,1,1,0,1,1,1
0,0,0,0,1,1,0,0,0,1,1,0,1,1
0,0,0,1,1,0,0,0,0,1,0,1,0,1
0,1,1,1,0,0,0,0,0,1,0,0,1,1
0,1,1,1,0,1,0,1,0,1,0,0,1,1
1,0,0,1,1,1,1,0,1,0,0,1,0,1
0,0,0,1,0,0,1,1,1,0,1,1,1,1
0,0,1,1,0,0,1,0,0,1,0,1,0,1
0,1,1,1,0,1,0,0,0,1,0,1,1,1
0,0,1,1,1,0,1,0,0,0,1,0,1,1
0,1,1,1,1,1,0,1,0,0,0,1,0,1
0,0,0,1,1,0,0,0,0,0,1,1,1,1
0,0,1,0,1,1,1,1,0,0,0,0,1,1
0,0,1,1,1,1,0,0,1,1,0,0,1,1
0,1,0,1,0,0,0,0,0,0,0,0,1,1
0,0,0,1,1,1,1,0,0,0,1,0,1,1
0,1,0,1,0,1,0,0,1,1,1,1,1,1
0,1,0,1,1,0,0,1,0,0,1,1,1,1
0,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,1,0,0,0,0,0,0,1,1
0,0,0,1,1,1,0,1,0,1,1,0,1,1
0,1,0,1,0,0,0,0,0,1,0,1,1,1
0,1,0,1,0,1,1,0,1,1,0,0,1,1
0,0,0,0,0,1,1,0,1,0,1,0,1,1
1,1,0,1,1,0,0,0,0,1,1,1,1,1
0,1,1,1,0,1,1,1,0,1,0,0,1,1
0,0,0,1,1,0,0,1,0,0,0,0,1,1
0,1,0,1,1,0,0,0,0,0,0,0,1,1
0,1,0,1,0,1,1,1,1,1,0,0,1,1
0,0,0,1,0,0,0,0,0,1,1,1,1,1
0,0,0,1,1,1,0,0,1,1,1,1,1,1
1,1,0,1,0,1,1,0,1,0,1,0,1,1
0,1,0,1,0,1,0,1,0,0,1,1,1,1
0,1,0,1,0,1,0,1,0,1,0,0,1,1
0,1,1,1,0,0,1,1,1,0,1,1,1,1
0,0,1,1,0,0,1,1,1,0,0,1,1,1
0,1,0,1,1,1,1,0,1,1,1,1,0,1
1,1,1,1,0,1,1,1,1,1,0,1,0,1
0,0,0,1,0,0,0,0,0,0,0,1,1,1
0,1,0,1,1,0,0,1,1,0,1,0,1,1
0,0,0,1,1,0,1,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,0,1,1,1,0,1
0,1,0,1,1,1,1,1,1,1,1,0,1,1
0,1,0,1,1,0,0,0,0,0,1,1,1,1
0,0,0,1,1,0,0,0,0,1,0,0,1,1
0,0,0,1,1,1,1,1,1,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,1,1,1,1
1,0,0,1,0,1,1,1,0,0,0,0,0,1
0,0,0,1,0,0,1,1,0,1,0,0,1,1
0,0,0,1,1,1,0,1,1,1,0,0,1,1
0,1,0,1,0,0,0,0,0,0,1,1,0,1
0,0,0,1,0,0,0,1,0,1,1,0,1,1
0,0,1,1,0,1,0,0,0,1,1,1,1,1
1,1,0,1,0,0,1,0,1,1,0,0,0,1
0,0,0,1,0,0,1,1,0,1,1,0,1,1
0,1,0,1,1,0,1,0,1,1,0,1,1,1
0,1,1,1,1,0,1,1,0,0,1,1,0,1
0,0,1,1,1,0,1,1,0,0,0,1,1,1
0,1,0,1,0,0,0,0,0,1,0,1,1,1
0,0,0,1,0,1,1,0,0,1,0,0,1,1
0,1,0,1,0,0,0,0,1,1,0,1,1,1
0,0,0,1,1,1,1,1,1,1,1,1,0,1
1,1,0,1,1,0,0,1,0,0,0,1,1,1
0,0,1,1,0,0,1,0,1,1,0,0,1,1
0,0,0,1,1,0,1,1,0,1,1,1,1,1
1,1,1,1,0,0,0,1,0,1,1,1,1,1
0,0,1,1,0,1,0,0,0,0,1,1,0,1
0,1,1,1,1,0,0,1,1,0,1,0,1,1
0,0,0,0,0,0,0,1,0,1,1,1,0,1
0,1,0,1,1,0,0,0,1,1,0,0,1,1
0,0,1,1,1,0,0,1,0,1,1,1,0,1
1,0,0,0,0,1,0,1,1,1,1,0,1,1
0,1,0,0,0,1,0,0,0,1,1,1,1,1
0,0,1,1,0,0,1,1,1,0,1,1,1,1
0,1,0,1,0,0,0,0,1,1,0,0,1,1
0,0,1,1,1,1,1,0,1,0,0,1,1,1
0,0,0,1,1,0,1,1,0,0,0,1,1,1
0,0,0,1,1,1,1,1,1,0,0,1,1,1
0,0,0,1,0,0,1,1,0,1,0,1,1,1
0,1,1,1,0,1,1,0,1,1,1,0,0,1
0,0,0,1,0,0,0,0,0,0,1,1,1,1
0,1,0,1,0,0,0,1,0,1,1,0,1,1
1,1,1,1,1,0,0,1,1,0,1,1,0,1
0,0,0,1,0,0,0,1,1,0,1,1,0,1
0,0,1,1,1,1,0,1,1,0,1,1,0,1
0,0,0,1,1,0,1,0,0,0,1,0,0,1
0,1,1,1,1,0,1,0,0,1,0,0,1,1
0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,0,0,1,1,0,0,1,0,0,1,1,0,1
0,0,0,1,1,1,1,1,1,1,1,0,1,1
0,0,0,1,0,1,0,1,1,1,1,0,1,1
1,0,0,1,0,0,1,0,0,0,1,1,1,1
1,1,0,1,1,0,1,1,1,0,0,1,0,1
0,1,1,1,0,0,0,0,0,1,0,0,1,1
0,0,1,1,0,0,0,1,0,1,0,1,1,1
0,0,0,1,1,1,0,0,0,0,1,0,1,1
0,1,1,1,0,0,0,0,0,0,1,1,1,1
0,1,1,1,1,1,1,0,0,1,1,0,1,1
0,1,1,1,1,1,0,1,0,0,1,1,1,1
0,0,0,0,1,1,0,0,1,1,0,1,0,1
0,1,1,1,1,0,1,0,1,1,0,1,1,1
0,1,1,1,0,0,0,0,0,0,1,1,0,1
0,1,0,1,0,0,1,0,0,0,0,1,1,1
0,1,0,1,1,1,1,1,0,0,0,1,1,1
0,0,1,1,0,0,0,0,0,1,1,0,1,1
0,1,0,1,1,0,0,0,1,1,0,1,1,1
0,0,0,1,0,0,0,0,0,0,1,1,1,1
0,0,0,1,0,0,0,0,0,0,1,1,1,1
0,1,1,1,1,0,0,0,1,1,1,1,1,1
0,1,0,1,1,0,0,0,1,0,1,1,1,1
0,0,0,1,0,1,0,0,1,0,0,1,1,1
0,0,0,1,0,0,1,0,0,1,0,1,0,1
0,0,1,1,0,0,0,1,0,0,1,1,1,1
0,0,1,1,0,1,1,0,0,0,1,1,1,1
0,1,0,1,1,1,0,1,0,0,1,1,1,1
1,1,1,1,0,0,1,1,0,1,0,1,0,1
0,1,1,1,0,1,1,1,0,0,1,0,1,1
0,0,0,1,1,1,1,1,0,0,1,1,1,1
0,0,1,1,1,0,0,0,0,1,1,0,1,1
0,1,0,1,1,1,0,1,0,0,0,1,1,1
0,1,1,1,1,0,0,1,1,1,1,1,1,1
0,1,1,1,1,0,1,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,1,1
0,1,0,1,0,0,1,1,1,1,1,0,1,1
1,0,1,1,1,0,1,1,1,1,1,1,1,1
0,0,1,1,0,1,1,1,1,0,1,1,1,1
0,0,0,1,1,0,1,0,0,0,0,1,1,1
0,1,0,1,0,0,0,0,0,0,0,1,1,1
0,1,1,1,0,1,0,0,1,1,0,1,1,1
1,1,0,1,1,0,1,0,1,1,0,1,1,1
0,0,0,1,0,1,1,1,0,0,1,1,1,1
1,0,1,1,0,0,1,1,1,0,0,0,1,1
0,0,1,0,1,0,0,0,0,1,1,1,1,1
0,1,0,1,0,0,0,1,1,1,0,1,0,1
0,0,0,0,0,1,0,0,1,0,0,1,1,1
0,0,0,1,1,0,1,0,0,1,1,0,0,1
0,1,0,1,0,1,1,1,1,1,0,1,1,1
0,0,1,1,0,1,1,0,0,0,0,1,1,1
0,0,0,1,0,0,0,1,1,1,0,0,0,1
1,0,0,0,0,0,1,0,1,1,0,0,0,1
0,1,0,1,0,0,0,0,0,1,0,0,0,1
1,0,1,1,1,0,1,0,1,0,0,1,0,1
0,1,0,1,1,1,0,0,0,1,0,1,1,1
0,0,0,1,0,1,0,0,0,0,1,1,1,1
0,0,0,1,0,0,0,1,0,1,0,0,1,1
0,1,0,1,1,0,1,0,0,1,0,1,1,1
0,1,0,1,1,0,1,0,1,1,1,1,1,1
0,1,0,1,0,0,0,0,0,0,1,1,0,1
0,1,0,1,0,0,0,1,1,0,0,1,1,1
1,0,0,0,0,0,0,1,0,1,1,1,1,1
1,1,0,1,0,0,0,1,1,0,0,1,1,1
0,0,0,1,0,0,1,1,1,0,0,1,1,1
0,1,0,1,1,0,1,0,0,1,1,0,1,1
0,0,0,1,0,0,1,0,0,0,0,0,1,1
0,0,0,1,0,0,1,0,0,1,0,0,0,1
0,1,1,1,0,0,0,1,0,1,1,0,1,1
0,0,1,1,0,0,1,1,1,1,1,0,0,1
1,1,0,0,0,1,1,0,0,1,0,0,1,1
0,0,0,1,0,1,0,0,0,0,1,0,0,1
0,1,1,1,1,1,0,1,0,0,1,1,1,1
0,0,1,1,1,0,1,0,1,0,1,0,1,1
0,0,0,1,0,0,0,1,0,1,1,1,1,1
0,0,0,1,0,0,1,0,0,0,1,1,1,1
0,0,0,1,0,0,0,0,1,0,0,1,1,1
1,0,0,1,1,0,0,1,0,0,1,0,1,1
0,0,0,1,1,0,1,1,0,0,1,0,1,1
0,1,0,1,0,1,1,0,0,0,1,1,0,1
0,0,0,1,1,0,0,0,1,0,0,0,1,1
