,children,age,income,churn,contacts,yearly_equip_failure,techie,online_security,tenure,monthly_charge,bandwidth_gb_year
0,0,68,28561.99,0,0,1,0,1,6.795512947,172.455519,904.5361102
1,1,27,21704.77,1,0,1,1,1,1.156680997,242.632554,800.9827661
2,4,50,9609.57,0,0,1,1,0,15.75414408,159.947583,2054.706961
3,1,48,18925.23,0,2,0,1,1,17.08722662,119.95684,2164.579412
4,0,83,40074.19,1,2,1,0,0,1.670971726,149.948316,271.4934362
5,3,83,22660.2,0,3,1,0,1,7.000993555,185.007692,1039.357983
6,0,79,11467.5,1,0,1,1,0,13.23677381,200.118516,1907.242972
7,2,30,26759.64,1,0,0,1,0,4.26425515,114.950905,979.6127078
8,2,49,58634.51,0,2,3,0,1,8.220686373,117.468591,1312.874964
9,1,86,50231.4,0,1,0,0,1,3.422086139,162.482694,508.7637913
10,7,23,22580.7,0,0,2,0,1,19.26726194,174.958118,2728.767869
11,2,56,18342.12,0,1,1,0,0,10.52199781,149.962093,1180.588788
12,0,83,83671.08,0,0,0,0,0,13.01149229,137.439154,1196.388018
13,5,29,115114.57,0,1,0,0,1,16.87922024,184.971516,1948.694497
14,1,30,64256.81,1,3,0,0,0,10.06019902,159.965581,1582.295235
15,3,39,89061.45,1,1,0,0,1,13.87001293,177.65076,1840.014467
16,0,63,31659.3,1,1,0,0,0,15.78214958,194.966286,2070.376729
17,2,60,44142.81,1,3,0,0,1,2.303331273,202.682861,882.0985933
18,3,61,39262.14,0,1,0,1,0,17.10995632,152.490739,1833.0967
19,3,23,19494.75,1,1,0,0,0,12.80615845,149.944668,1954.080809
20,4,38,39624.21,0,0,3,0,1,20.45390977,184.978458,2330.319383
21,3,30,45714.47,0,1,0,0,1,2.415991977,127.495766,594.1054279
22,3,52,27442.03,0,1,1,0,0,6.652298992,124.964303,713.0633088
23,2,68,79699.62,0,0,0,0,0,8.543717478,149.948316,945.3802928
24,3,75,28520.32,1,1,0,0,1,5.770390256,162.511928,870.76398
25,1,77,12558.83,1,1,0,0,0,4.157658837,92.455141,774.2937069
26,1,47,8762.23,1,0,1,0,1,10.40566091,222.649979,1506.446527
27,0,70,43882.72,1,0,0,0,0,1.392421597,139.981577,419.0508708
28,3,20,10482.52,1,2,0,1,0,1.430386349,200.132293,1259.415493
29,4,69,33442.79,1,1,0,0,1,5.425864884,257.651257,1745.125956
30,9,45,43383.54,0,0,0,0,0,11.08287797,230.105118,1795.465729
31,0,40,21793.88,0,2,0,0,0,3.586184954,147.489301,492.4771472
32,6,82,51960.51,1,0,0,0,0,4.727388465,230.105118,1013.993166
33,5,74,25942.1,1,1,1,0,1,20.89923386,174.958118,2680.762173
34,4,69,11211.59,1,1,0,0,1,3.471329958,267.664655,1081.814362
35,1,52,8283.29,1,0,1,0,1,5.478588204,162.483267,1209.961168
36,2,26,10114.81,1,1,1,0,1,3.312991809,229.993134,897.5919144
37,1,25,36229.21,0,2,0,0,1,7.161561527,140.00128,1340.930156
38,1,66,25397.44,0,1,0,0,1,9.847563364,184.964681,1113.993679
39,1,72,50336.5,0,1,1,0,0,16.04202196,147.473844,1530.10769
40,3,21,38211.37,0,1,0,0,0,9.179779682,172.457857,1310.137419
41,3,55,52887.26,0,2,0,0,1,3.002844144,107.481989,892.8964931
42,4,41,12003.33,1,1,2,0,1,3.924254455,255.141716,1125.581944
43,4,32,24090.62,0,0,0,0,0,18.55959629,192.456745,2016.710031
44,0,22,15137.93,1,0,0,0,1,8.798394712,242.632554,1412.736809
45,2,44,54458.38,1,1,0,0,1,10.377366,245.174977,1710.689671
46,2,23,132116.33,1,1,0,0,1,22.25746016,184.964681,2384.885909
47,3,43,37358.13,1,1,0,1,1,9.427146079,195.006206,1213.940165
48,1,86,26534.16,0,2,2,0,0,7.760290062,104.962874,740.010722
49,2,84,76430.83,0,0,1,0,0,11.56938439,92.488023,897.9716153
50,2,62,4662.37,1,3,0,0,0,3.343811019,184.979684,1026.387172
51,5,68,43820.85,1,1,0,0,0,7.338869531,187.656013,1234.244324
52,1,59,38391.55,0,0,0,0,0,5.486534225,149.962093,727.3731845
53,0,31,44137.6,1,0,0,1,0,1.55278221,169.944668,452.8721504
54,0,51,14364.65,1,2,0,0,1,12.07970325,160.00128,1296.674543
55,1,58,62359.91,0,1,1,0,0,13.98666226,129.962093,1840.628269
56,1,73,82634.86,1,0,1,0,0,9.563362997,114.950905,1324.330108
57,1,33,15690.25,0,0,1,0,1,6.732948946,142.515576,958.1397059
58,1,58,14568.7,1,2,0,0,0,15.72071086,220.14775,1868.864027
59,0,49,29207.46,0,1,0,0,0,7.233605493,124.97808,676.712908
60,1,26,55319.23,0,1,0,0,1,2.871017037,164.964681,1086.990308
61,1,25,81831.49,0,3,0,0,0,2.344875382,194.976769,704.7540406
62,0,42,100076.65,1,3,0,0,1,7.960490246,152.455519,1416.444695
63,1,81,69965.65,0,0,0,0,0,12.25062113,92.5018,1095.950634
64,1,43,34883.69,0,0,0,1,0,9.634946079,127.488728,1083.610268
65,2,63,45634.2,0,1,0,0,0,7.916533093,184.963371,1570.641337
66,3,70,10964.73,1,0,1,0,0,4.471254161,265.146969,1007.425553
67,1,78,22365.28,1,1,0,0,0,10.79028074,207.609354,1323.028419
68,0,48,52636.6,0,0,1,0,1,12.24190682,152.462354,1808.730555
69,1,63,19048.13,1,2,1,1,0,2.203859443,200.132293,1120.241472
70,4,60,42784.82,1,0,0,0,1,23.92132231,212.655686,2676.789803
71,0,87,77996.88,1,0,0,1,0,3.7311787,255.119794,1268.086909
72,3,54,47507.3,0,0,0,0,0,7.980015371,134.950905,822.6771666
73,3,35,7724.73,1,0,1,0,0,9.190009376,255.137219,1577.915603
74,1,70,1509.52,1,0,0,0,0,2.378630018,214.966286,648.7471776
75,2,67,81124.71,1,0,0,0,1,5.43464555,270.160419,1648.102673
76,4,46,11795.57,1,0,0,0,0,1.092361222,200.165175,768.0874545
77,1,50,74794.84,0,2,1,0,0,20.13981517,149.937833,2426.030626
78,1,24,19038.78,1,1,0,0,0,24.64873861,240.114868,2660.503932
79,0,20,79167.77,0,0,0,0,1,9.677739656,127.495766,1129.549713
80,1,29,37428.26,1,2,1,0,0,9.82814183,187.609354,1771.286466
81,0,31,45148.38,0,1,0,1,0,7.832238337,169.992756,943.3391244
82,5,72,74855.47,0,3,0,0,0,19.45250317,192.456745,1907.226083
83,4,71,45323.86,0,1,0,0,1,14.34766616,120.004928,1885.939118
84,2,32,71596.14,0,0,0,0,1,2.257358355,195.006206,631.7435653
85,0,33,10389.95,0,1,0,0,1,2.358129018,139.95684,562.6095219
86,3,67,19657.14,0,3,0,1,0,4.650578623,114.983787,593.8572264
87,0,66,27827.03,1,1,1,0,0,3.721772616,207.638588,777.3060718
88,4,21,15609.05,1,4,0,0,0,3.76663012,187.609354,1393.202392
89,0,61,19815.63,0,0,2,0,0,4.151256695,134.950905,393.6524652
90,0,75,58482.9,1,0,0,0,0,2.188918771,192.470522,409.7486664
91,0,63,41656.53,1,1,0,0,0,13.85488928,222.628057,2138.107161
92,0,68,115510.46,0,1,0,0,1,3.273341151,162.468917,443.984031
93,2,32,15841.19,1,1,1,0,0,19.75096265,159.979358,2481.385603
94,0,76,81127.41,0,1,0,0,0,18.38404445,184.979684,2233.567181
95,0,29,24270.88,1,0,0,0,1,4.672610857,245.145743,1158.91369
96,0,83,54466.33,0,0,1,0,0,6.796299371,124.97808,529.40733
97,10,23,64816.84,1,1,1,0,1,12.97632235,187.484705,1956.7337
98,5,80,103311.26,0,1,0,0,1,20.31163945,162.500692,2056.386979
99,0,20,40211.04,0,1,1,0,0,6.998814446,182.467607,1067.373076
100,0,69,58077.38,1,1,1,0,0,14.46288204,222.660939,1806.135733
101,1,32,43466.35,0,1,0,0,0,11.13472066,182.467607,1397.701335
102,0,53,23289.77,1,1,0,0,0,2.542296644,220.161527,808.4305471
103,2,25,49158.49,0,1,0,0,0,17.22596021,169.937833,1886.531937
104,0,69,3805.84,1,0,2,0,0,22.79214163,204.963371,2294.781131
105,3,71,52616.27,1,2,1,0,0,3.823689744,204.963371,826.3438621
106,3,53,30550.42,1,1,0,0,1,10.77094687,245.128318,2072.564168
107,2,56,12154.01,1,0,2,0,0,13.08671185,172.473314,1436.793746
108,0,42,30649.31,1,2,2,0,0,14.76468813,172.456745,1963.332683
109,3,33,31417.33,1,0,0,0,0,9.473091121,194.976769,1324.164906
