,tenure
9254,70.10448
1561,9.300517617
1670,11.72200614
6087,60.20473
6669,56.08175
5933,52.66447
8829,58.95425
7945,48.00544
3508,8.187262
2002,13.29584
5866,55.3519
168,12.07358377
2588,25.72493
5905,48.31617
9529,70.36396
6384,52.68582
7824,58.50824
9779,46.55588
4629,15.46234
8560,64.02401
9291,68.79305
6874,59.6819
6521,42.82228
8979,65.44503
6647,59.25503
9825,50.8022
210,4.525864256
5278,61.62973
1919,11.92905011
718,9.472450618
4868,2.237136
7834,59.14141
1298,12.01513041
9193,68.77621
4617,1.76975
3128,6.21102
9795,46.05744
3979,9.8256
9924,67.09737
8317,44.21572
4393,21.19498
1287,1.156719701
4355,17.7076
7013,56.50306
3885,12.5247
5749,43.86844
9169,71.86603
2407,17.76511
2013,3.081551
5153,68.6711
8551,68.02064
4376,6.708628
8822,71.07998
4273,7.816831
5825,58.09895
6699,64.67686
7243,49.01677
449,1.715329149
2227,10.269
5756,47.43916
810,8.294910436
4180,12.3548
9000,69.35043
5438,68.65945
7533,52.98326
6369,46.30752
8416,58.34548
1477,1.350108155
1790,6.766267697
2008,7.698157
682,17.80378998
2816,2.108436
9431,40.8394
3774,3.613493
6495,70.44254
8878,65.28923
7361,63.42517
8366,43.46156
7474,64.50684
46,22.25746016
30,11.08287797
8250,63.64621
6935,64.11078
1468,12.13508874
1665,14.98166868
1416,21.13118502
6480,44.72714
4852,5.695207
2470,18.8572
4373,8.584144
8524,55.49261
429,16.52138638
5244,37.45999
2119,14.29414
385,17.52138221
1945,1.235589507
4224,14.91353
473,9.086633107
2129,11.4255
6556,70.52836
6998,70.69523
1055,8.713385365
3274,2.327566
4961,5.461422
5363,49.18219
5816,54.23273
811,29.10639477
4573,8.574964
6137,63.66258
2388,9.388962
9648,40.46026
6225,70.37667
111,6.577552683
8909,43.5663
1745,24.77634001
7851,64.62103
1452,6.585140105
319,3.999030359
8593,56.70254
3333,7.602068
1922,12.52485764
5865,67.20585
9528,61.83307
3685,20.5032
4275,5.321365
4889,1.726822
5225,60.89236
7472,46.91449
3605,2.407697
1052,7.25493599
4156,5.877819
9676,64.28075
99,6.998814446
7508,71.20362
1456,14.26615817
7688,54.26571
4004,2.198687
6866,65.55327
4509,4.343093
3299,16.41429
3799,9.573255
4281,3.30098
9051,68.59815
6462,62.43504
7912,49.88118
1414,3.847102787
540,1.815836226
5815,47.96511
8199,52.11755
3680,13.59261
754,6.343374736
4196,16.19111
2650,2.888303
4522,10.32752
9519,63.72204
3118,11.00718
3728,4.078283
3886,5.257695
7107,59.97805
8068,53.32394
7325,61.37365
8483,37.04844
