dependent,married,gender,churn,contract,internet_service,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,tenure,monthly_charge,dataset
No,No,Male,No,One year,Fiber Optic,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Autopay,7.0,172.46,wgu telecom
Yes,Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Autopay,1.0,242.63,wgu telecom
Yes,No,Female,No,Two year,DSL,Yes,Yes,No,No,No,No,No,Yes,Yes,Autopay,16.0,159.95,wgu telecom
Yes,Yes,Male,No,Two year,DSL,Yes,No,Yes,No,No,No,Yes,No,Yes,Check,17.0,119.96,wgu telecom
No,No,Male,Yes,Month-to-month,Fiber Optic,No,No,No,No,No,Yes,Yes,No,No,Check,2.0,149.95,wgu telecom
Yes,No,Female,No,One year,None,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,eCheck,7.0,185.01,wgu telecom
No,No,Male,Yes,Month-to-month,DSL,Yes,No,No,No,No,Yes,Yes,Yes,No,eCheck,13.0,200.12,wgu telecom
Yes,Yes,Female,Yes,Month-to-month,DSL,No,No,No,Yes,No,No,No,No,Yes,Check,4.0,114.95,wgu telecom
Yes,No,Nonbinary,No,Month-to-month,DSL,Yes,No,Yes,Yes,No,No,No,No,Yes,Autopay,8.0,117.47,wgu telecom
Yes,Yes,Female,No,Two year,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Check,3.0,162.48,wgu telecom
Yes,No,Female,No,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Check,19.0,174.96,wgu telecom
Yes,Yes,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,No,eCheck,11.0,149.96,wgu telecom
No,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Autopay,13.0,137.44,wgu telecom
Yes,No,Female,No,Two year,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Autopay,17.0,184.97,wgu telecom
Yes,No,Male,Yes,Month-to-month,DSL,No,Yes,No,Yes,No,Yes,No,No,Yes,Autopay,10.0,159.97,wgu telecom
Yes,No,Male,Yes,One year,None,Yes,No,Yes,No,No,No,Yes,Yes,Yes,eCheck,14.0,177.65,wgu telecom
No,Yes,Female,Yes,Month-to-month,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Autopay,16.0,194.97,wgu telecom
Yes,No,Male,Yes,Two year,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Check,2.0,202.68,wgu telecom
Yes,No,Female,No,Two year,None,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Autopay,17.0,152.49,wgu telecom
Yes,No,Male,Yes,Month-to-month,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Autopay,13.0,149.94,wgu telecom
Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Autopay,20.0,184.98,wgu telecom
Yes,No,Male,No,Two year,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,No,Autopay,2.0,127.5,wgu telecom
Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Yes,eCheck,7.0,124.96,wgu telecom
Yes,No,Male,No,One year,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,eCheck,9.0,149.95,wgu telecom
Yes,No,Female,Yes,Month-to-month,None,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Autopay,6.0,162.51,wgu telecom
Yes,No,Male,Yes,Month-to-month,DSL,Yes,No,No,No,No,No,No,No,No,Autopay,4.0,92.46,wgu telecom
Yes,Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Check,10.0,222.65,wgu telecom
No,No,Female,Yes,Month-to-month,None,Yes,No,No,Yes,Yes,No,Yes,No,Yes,eCheck,1.0,139.98,wgu telecom
Yes,No,Female,Yes,One year,DSL,Yes,No,No,No,Yes,No,Yes,Yes,No,Autopay,1.0,200.13,wgu telecom
Yes,No,Male,Yes,Two year,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Autopay,5.0,257.65,wgu telecom
Yes,Yes,Male,No,Two year,Fiber Optic,No,No,No,Yes,No,No,Yes,Yes,Yes,Autopay,11.0,230.11,wgu telecom
